,empresa,año,informada,total,total_cual,informadas,informadas_cual,%_informadas,%_informadas_cualitativas
1,ACS,2017,1,11,9,8,7,72.72727272727273,77.77777777777779
3,ACS,2018,1,11,9,8,8,72.72727272727273,88.88888888888889
5,ACS,2019,1,11,9,9,8,81.81818181818183,88.88888888888889
7,ACS,2020,1,11,9,7,6,63.63636363636363,66.66666666666666
9,ACS,2021,1,11,9,8,7,72.72727272727273,77.77777777777779
11,Acciona,2017,1,9,7,4,4,44.44444444444444,57.14285714285714
13,Acciona,2018,1,11,9,7,6,63.63636363636363,66.66666666666666
15,Acciona,2019,1,11,9,9,7,81.81818181818183,77.77777777777779
17,Acciona,2020,1,11,9,8,8,72.72727272727273,88.88888888888889
19,Acciona,2021,1,11,9,7,7,63.63636363636363,77.77777777777779
21,Acciona Energías,2020,1,8,6,2,2,25.0,33.33333333333333
23,Acciona Energías,2021,1,8,6,3,3,37.5,50.0
25,Acerinox,2017,1,11,8,3,3,27.27272727272727,37.5
27,Acerinox,2018,1,11,8,1,1,9.090909090909092,12.5
29,Acerinox,2019,1,11,8,2,2,18.181818181818183,25.0
31,Acerinox,2020,1,11,8,6,5,54.54545454545454,62.5
33,Acerinox,2021,1,11,8,6,5,54.54545454545454,62.5
35,Aena,2017,1,16,11,9,7,56.25,63.63636363636363
37,Aena,2018,1,16,11,7,6,43.75,54.54545454545454
39,Aena,2019,1,16,11,4,4,25.0,36.36363636363637
41,Aena,2020,1,16,11,7,7,43.75,63.63636363636363
43,Aena,2021,1,16,11,5,4,31.25,36.36363636363637
45,Amadeus,2017,1,9,7,3,3,33.33333333333333,42.857142857142854
47,Amadeus,2018,1,9,7,4,3,44.44444444444444,42.857142857142854
49,Amadeus,2019,1,9,7,3,3,33.33333333333333,42.857142857142854
51,Amadeus,2020,1,9,7,5,4,55.55555555555556,57.14285714285714
53,Amadeus,2021,1,9,7,4,3,44.44444444444444,42.857142857142854
55,ArcelorMittal,2017,1,11,8,3,3,27.27272727272727,37.5
57,ArcelorMittal,2018,1,11,8,2,2,18.181818181818183,25.0
59,ArcelorMittal,2019,1,11,8,4,4,36.36363636363637,50.0
61,ArcelorMittal,2020,1,11,8,3,3,27.27272727272727,37.5
63,ArcelorMittal,2021,1,11,8,7,6,63.63636363636363,75.0
65,BBVA,2017,1,8,6,3,2,37.5,33.33333333333333
67,BBVA,2018,1,8,6,4,3,50.0,50.0
69,BBVA,2019,1,8,6,4,3,50.0,50.0
71,BBVA,2020,1,8,6,4,4,50.0,66.66666666666666
72,BBVA,2021,1,8,6,7,6,87.5,100.0
77,Banco Sabadell,2020,1,7,5,1,1,14.285714285714285,20.0
79,Banco Sabadell,2021,1,7,5,4,3,57.14285714285714,60.0
81,Banco Santander,2017,1,8,5,1,1,12.5,20.0
83,Banco Santander,2018,1,8,5,1,1,12.5,20.0
85,Banco Santander,2019,1,8,5,4,3,50.0,60.0
87,Banco Santander,2020,1,8,5,3,3,37.5,60.0
89,Banco Santander,2021,1,8,5,4,4,50.0,80.0
91,Bankinter,2017,1,8,6,3,3,37.5,50.0
93,Bankinter,2018,1,8,6,4,4,50.0,66.66666666666666
95,Bankinter,2019,1,8,6,4,3,50.0,50.0
96,Bankinter,2020,1,8,6,7,6,87.5,100.0
98,Bankinter,2021,1,8,6,4,4,50.0,66.66666666666666
101,CaixaBank,2018,1,7,5,4,4,57.14285714285714,80.0
103,CaixaBank,2019,1,7,5,1,1,14.285714285714285,20.0
105,CaixaBank,2020,1,7,5,3,3,42.857142857142854,60.0
107,CaixaBank,2021,1,7,5,2,2,28.57142857142857,40.0
109,Cellnex,2020,1,8,6,7,5,87.5,83.33333333333334
111,Cellnex,2021,1,8,6,6,5,75.0,83.33333333333334
113,Colonial,2017,1,11,9,3,3,27.27272727272727,33.33333333333333
115,Colonial,2018,1,11,9,3,3,27.27272727272727,33.33333333333333
117,Colonial,2019,1,11,9,7,6,63.63636363636363,66.66666666666666
119,Colonial,2020,1,11,9,9,8,81.81818181818183,88.88888888888889
121,Colonial,2021,1,11,9,7,6,63.63636363636363,66.66666666666666
123,Enagas,2017,1,8,6,4,3,50.0,50.0
125,Enagas,2018,1,8,6,5,4,62.5,66.66666666666666
127,Enagas,2019,1,8,6,4,3,50.0,50.0
129,Enagas,2020,1,8,6,5,4,62.5,66.66666666666666
131,Enagas,2021,1,8,6,5,4,62.5,66.66666666666666
133,Endesa,2017,1,8,6,5,4,62.5,66.66666666666666
135,Endesa,2018,1,8,6,7,5,87.5,83.33333333333334
136,Endesa,2019,1,8,6,7,6,87.5,100.0
138,Endesa,2020,1,8,6,6,5,75.0,83.33333333333334
140,Endesa,2021,1,8,6,6,5,75.0,83.33333333333334
142,Ferrovial,2017,1,11,9,4,3,36.36363636363637,33.33333333333333
144,Ferrovial,2018,1,11,9,6,4,54.54545454545454,44.44444444444444
146,Ferrovial,2019,1,11,9,5,3,45.45454545454545,33.33333333333333
148,Ferrovial,2020,1,11,9,3,3,27.27272727272727,33.33333333333333
150,Ferrovial,2021,1,11,9,4,3,36.36363636363637,33.33333333333333
152,Fluidra,2017,1,8,6,3,2,37.5,33.33333333333333
154,Fluidra,2018,1,8,6,4,3,50.0,50.0
156,Fluidra,2019,1,8,6,5,4,62.5,66.66666666666666
157,Fluidra,2020,1,8,6,7,6,87.5,100.0
159,Fluidra,2021,1,8,6,6,5,75.0,83.33333333333334
161,Grifols,2017,1,8,6,3,2,37.5,33.33333333333333
163,Grifols,2018,1,8,6,4,3,50.0,50.0
165,Grifols,2019,1,8,6,5,4,62.5,66.66666666666666
166,Grifols,2020,1,8,6,7,6,87.5,100.0
168,Grifols,2021,1,8,6,7,5,87.5,83.33333333333334
170,IAG,2017,1,16,11,7,6,43.75,54.54545454545454
172,IAG,2018,1,16,11,6,5,37.5,45.45454545454545
174,IAG,2019,1,16,11,6,6,37.5,54.54545454545454
176,IAG,2020,1,16,11,8,7,50.0,63.63636363636363
178,IAG,2021,1,16,11,8,7,50.0,63.63636363636363
180,Iberdrola,2017,1,8,6,4,4,50.0,66.66666666666666
182,Iberdrola,2018,1,8,6,5,5,62.5,83.33333333333334
184,Iberdrola,2019,1,8,6,5,4,62.5,66.66666666666666
186,Iberdrola,2020,1,8,6,5,4,62.5,66.66666666666666
187,Iberdrola,2021,1,8,6,7,6,87.5,100.0
189,Inditex,2017,1,15,10,9,9,60.0,90.0
191,Inditex,2018,1,15,10,5,4,33.33333333333333,40.0
193,Inditex,2019,1,15,10,9,7,60.0,70.0
195,Inditex,2020,1,15,10,9,8,60.0,80.0
197,Inditex,2021,1,15,10,9,7,60.0,70.0
199,Indra,2017,1,9,7,5,4,55.55555555555556,57.14285714285714
201,Indra,2018,1,9,7,6,4,66.66666666666666,57.14285714285714
203,Indra,2019,1,9,7,5,4,55.55555555555556,57.14285714285714
205,Indra,2020,1,9,7,7,5,77.77777777777779,71.42857142857143
207,Indra,2021,1,9,7,4,3,44.44444444444444,42.857142857142854
209,Logista,2017,1,11,9,4,4,36.36363636363637,44.44444444444444
211,Logista,2018,1,11,9,3,3,27.27272727272727,33.33333333333333
213,Logista,2019,1,11,9,4,3,36.36363636363637,33.33333333333333
215,Logista,2020,1,11,9,4,3,36.36363636363637,33.33333333333333
217,Logista,2021,1,11,9,6,4,54.54545454545454,44.44444444444444
219,Mapfre,2017,1,7,5,3,2,42.857142857142854,40.0
221,Mapfre,2018,1,7,5,5,4,71.42857142857143,80.0
222,Mapfre,2019,1,7,5,6,5,85.71428571428571,100.0
224,Mapfre,2020,1,8,6,5,4,62.5,66.66666666666666
225,Mapfre,2021,1,6,4,5,4,83.33333333333334,100.0
227,Melia,2017,1,14,9,6,5,42.857142857142854,55.55555555555556
229,Melia,2018,1,14,9,5,5,35.714285714285715,55.55555555555556
231,Melia,2019,1,14,9,4,3,28.57142857142857,33.33333333333333
233,Melia,2020,1,14,9,3,2,21.428571428571427,22.22222222222222
235,Melia,2021,1,14,9,6,5,42.857142857142854,55.55555555555556
237,Merlin Properties,2017,1,11,9,4,4,36.36363636363637,44.44444444444444
239,Merlin Properties,2018,1,11,9,3,3,27.27272727272727,33.33333333333333
241,Merlin Properties,2019,1,11,9,4,3,36.36363636363637,33.33333333333333
243,Merlin Properties,2020,1,11,9,1,1,9.090909090909092,11.11111111111111
245,Merlin Properties,2021,1,11,9,7,7,63.63636363636363,77.77777777777779
247,Naturgy,2017,1,8,6,3,3,37.5,50.0
249,Naturgy,2018,1,8,6,2,2,25.0,33.33333333333333
251,Naturgy,2019,1,8,6,3,3,37.5,50.0
253,Naturgy,2020,1,8,6,4,3,50.0,50.0
254,Naturgy,2021,1,8,6,6,6,75.0,100.0
256,Red Eléctrica,2017,1,8,6,6,4,75.0,66.66666666666666
258,Red Eléctrica,2018,1,8,6,6,4,75.0,66.66666666666666
259,Red Eléctrica,2019,1,8,6,8,6,100.0,100.0
261,Red Eléctrica,2020,1,8,6,5,3,62.5,50.0
