,empresas,score,año
0,Acerinox,59.375,2017
1,Acerinox,68.75,2018
2,Acerinox,68.75,2019
3,Acerinox,81.25,2020
4,Acerinox,90.625,2021
5,ArcelorMittal,43.75,2017
6,ArcelorMittal,46.875,2018
7,ArcelorMittal,68.75,2019
8,ArcelorMittal,90.625,2020
9,ArcelorMittal,90.625,2021
10,Bankinter,55.55,2017
11,Bankinter,55.55,2018
12,Bankinter,55.55,2019
13,Bankinter,55.55,2020
14,Bankinter,55.55,2021
15,Cellnex,0.0,2017
16,Cellnex,0.0,2018
17,Cellnex,0.0,2019
18,Cellnex,99.99999999999999,2020
19,Cellnex,85.71,2021
20,Telefonica,85.71,2017
21,Telefonica,99.99999999999999,2018
22,Telefonica,85.71,2019
23,Telefonica,99.99999999999999,2020
24,Telefonica,99.99999999999999,2021
25,Endesa,68.0,2017
26,Endesa,60.0,2018
27,Endesa,92.0,2019
28,Endesa,100.0,2020
29,Endesa,92.0,2021
30,IAG,11.665,2017
31,IAG,81.72500000000001,2018
32,IAG,51.725,2019
33,IAG,81.72500000000001,2020
34,IAG,71.72500000000001,2021
35,Inditex,45.7605,2017
36,Inditex,59.049975,2018
37,Inditex,38.320425,2019
38,Inditex,67.3025,2020
39,Inditex,67.3025,2021
40,Melia,48.075,2017
41,Melia,55.775000000000006,2018
42,Melia,87.1623375,2019
43,Melia,48.45615000000001,2020
44,Melia,28.845000000000002,2021
45,Repsol,94.75,2017
46,Repsol,94.75,2018
47,Repsol,100.0,2019
48,Repsol,100.0,2020
49,Repsol,100.0,2021
50,Rovi,0.0,2017
51,Rovi,0.0,2018
52,Rovi,63.629999999999995,2019
53,Rovi,63.629999999999995,2020
54,Rovi,63.629999999999995,2021
