,empresas,score,año
0,ACS,50.0,2017
1,ACS,50.0,2018
2,ACS,68.75,2019
3,ACS,68.75,2020
4,ACS,46.875,2021
5,Acciona,62.5,2017
6,Acciona,68.75,2018
7,Acciona,68.75,2019
8,Acciona,62.5,2020
9,Acciona,68.75,2021
10,Acerinox,59.375,2017
11,Acerinox,68.75,2018
12,Acerinox,68.75,2019
13,Acerinox,81.25,2020
14,Acerinox,90.625,2021
15,ArcelorMittal,43.75,2017
16,ArcelorMittal,46.875,2018
17,ArcelorMittal,68.75,2019
18,ArcelorMittal,90.625,2020
19,ArcelorMittal,90.625,2021
20,Bankinter,55.55,2017
21,Bankinter,55.55,2018
22,Bankinter,55.55,2019
23,Bankinter,55.55,2020
24,Bankinter,55.55,2021
25,Cellnex,0.0,2017
26,Cellnex,0.0,2018
27,Cellnex,0.0,2019
28,Cellnex,99.99999999999999,2020
29,Cellnex,85.71,2021
30,Telefonica,85.71,2017
31,Telefonica,99.99999999999999,2018
32,Telefonica,85.71,2019
33,Telefonica,99.99999999999999,2020
34,Telefonica,99.99999999999999,2021
35,Endesa,68.0,2017
36,Endesa,60.0,2018
37,Endesa,92.0,2019
38,Endesa,100.0,2020
39,Endesa,92.0,2021
40,IAG,11.665,2017
41,IAG,81.72500000000001,2018
42,IAG,51.725,2019
43,IAG,81.72500000000001,2020
44,IAG,71.72500000000001,2021
45,Inditex,45.7605,2017
46,Inditex,59.049975,2018
47,Inditex,38.320425,2019
48,Inditex,67.3025,2020
49,Inditex,67.3025,2021
50,Melia,48.075,2017
51,Melia,55.775000000000006,2018
52,Melia,87.1623375,2019
53,Melia,48.45615000000001,2020
54,Melia,28.845000000000002,2021
55,Repsol,94.75,2017
56,Repsol,94.75,2018
57,Repsol,100.0,2019
58,Repsol,100.0,2020
59,Repsol,100.0,2021
60,Rovi,0.0,2017
61,Rovi,0.0,2018
62,Rovi,63.629999999999995,2019
63,Rovi,63.629999999999995,2020
64,Rovi,63.629999999999995,2021
